phenotype	description	risk_category	your_risk	gene_tested	priority	type	category	sub_pri	intrinsic_factors	sign_and_symptoms	recomm_test	possible_outcome	do_action	do_not_action
High LDL (Bad) Cholesterol Levels	LDL adalah jenis kolesterol jahat yang bisa menjadi berbahaya jika terlalu banyak. Kolesterol LDL dapat membentuk plak dan menumpuk di dinding arteri. Hal ini dapat membuat arteri lebih sempit dan kurang fleksibel, menempatkan Anda pada risiko kondisi seperti serangan jantung atau stroke.	High		"APOC1; HMGCR; LDLR; CELSR2; PCSK9; APOB; APOE; PSRC1"	8	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Pria >45 tahun dan wanita >55 tahun berisiko lebih tinggi
2) Pra-menopause
wanita berisiko lebih rendah daripada pria tetapi pascamenopause
wanita berisiko lebih tinggi daripada pria
3) Umum di Selatan
orang asia
4) Riwayat keluarga

Faktor gaya hidup
1) Merokok
2) Kurang olahraga
3) Diet kaya lemak jenuh dan lemak trans

Kondisi medis terkait
1) Obesitas
2) Diabetes Tipe 2
3) Obstruksi Bilier
4) Hipotiroidisme
5) Hipertensi
6) Hipopituitarisme
7) Sindrom nefrotik

"	"Kadar Kolesterol LDL (Buruk) yang tinggi tidak memiliki gejala tetapi dapat meningkatkan risiko Anda untuk kondisi yang memang memiliki gejala. Tanda-tanda:
1) Pertumbuhan atau lesi yang lembut dan kekuningan pada kulit yang disebut xantoma. Mereka dapat berkembang di atas tendon terutama pada Tendon Achilles.
2) Xanthelasma."	"Uji Profil Lipid yang mengukur:
1) Kolesterol total
2) kolesterol LDL
3) kolesterol HDL
4) Trigliserida"	Secara genetik, kamu mempunyai risiko tinggi untuk memilki Kadar Kolesterol LDL (Buruk) yang tinggi. 	"Makan makanan kaya serat (buah-buahan, sayuran, dan biji-bijian). Konsumsi produk susu rendah lemak seperti yoghurt dan dadih setiap hari.

Pertahankan BMI yang sehat antara 18,5 hingga 22,9 kg/m2. Cobalah untuk menurunkan berat badan melalui diet dan olahraga yang tepat, jika Anda kelebihan berat badan. 

Berolahraga setiap hari. Orang dewasa harus melakukan olahraga dengan intensitas sedang, seperti jalan cepat atau bersepeda, setiap minggu

Kelola stres.  Berlatih teknik manajemen stres seperti meditasi dan yoga."	"Konsumsi daging merah, makanan berlemak, daging olahan, gorengan, dll.

Konsumsi olahan gula berlebihan

Merokok dan penggunaan tembakau atau produk tembakau

Konsumsi alkohol. Laki-laki tidak lebih dari dua minuman/hari, wanita tidak lebih dari 1 minuman/hari."
Hypertension	Hipertensi dikenal sebagai tekanan darah tinggi adalah tekanan darah yang lebih tinggi dari normal. Tekanan darah normal adalah 120/80 mmHg, sedangkan hipertensi lebih tinggi dari 140 /90 mmHg. Hipertensi adalah faktor risiko paling umum untuk stroke dan penyakit jantung.Ê	Typical		"HLA-DPA1, HLA-DPB1; AGTR1; NOS3; ALDH2"	9	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Usia: risiko meningkat seiring bertambahnya usia
2) Jenis Kelamin: lebih sering terjadi pada pria
3) Etnisitas: umum di antara orang-orang keturunan Afrika
4) Riwayat keluarga

Faktor gaya hidup
1) Kelebihan berat badan
2) Pola makan yang tidak sehat
3) Kurangnya aktivitas fisik
4) Stres
5) Alkohol lebih dari konsumsi
6) Kebiasaan Merokok / Tembakau

Kondisi medis terkait
1) Diabetes
2) Hipertiroidisme
3) Penyakit Ginjal Kronis
4) Demensia
5) Sindrom metabolik
6) Dislipidemia
7) Hipertensi yang diinduksi kehamilan
8) Pil kontrasepsi oral


"	"Kebanyakan pasien hipertensi tidak menunjukkan gejala sama sekali.
Oleh karena itu, hipertensi tetap tidak terdiagnosis dalam banyak kasus.
1) Sakit kepala
2) Mimisan
3) Sesak napas, Kecemasan/Stres
4) Berkeringat
5) Masalah tidur
6) Bradikardia / Takikardia
7) Kelemahan
8) Hiperaldosteronisme"""	Pemantauan tekanan darah secara teratur sangat penting, karena biasanya tidak akan ada gejala yang membuat Anda sadar akan kondisi tersebut. Periksa Tekanan Darah Istirahat dalam posisi Terlentang dan Duduk.	Secara genetik, kamu memiliki risiko umum untuk mengidap Hypertension	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Waspadai tanda dan gejala Hypertension dan segera konsultasikan ke dokter jika Anda mengalami salah satu gejala tersebut."	NA
Hypertension	Hipertensi dikenal sebagai tekanan darah tinggi adalah tekanan darah yang lebih tinggi dari normal. Tekanan darah normal adalah 120/80 mmHg, sedangkan hipertensi lebih tinggi dari 140 /90 mmHg. Hipertensi adalah faktor risiko paling umum untuk stroke dan penyakit jantung.Ê	Low		"HLA-DPA1, HLA-DPB1; AGTR1; NOS3; ALDH2"	9	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Usia: risiko meningkat seiring bertambahnya usia
2) Jenis Kelamin: lebih sering terjadi pada pria
3) Etnisitas: umum di antara orang-orang keturunan Afrika
4) Riwayat keluarga

Faktor gaya hidup
1) Kelebihan berat badan
2) Pola makan yang tidak sehat
3) Kurangnya aktivitas fisik
4) Stres
5) Alkohol lebih dari konsumsi
6) Kebiasaan Merokok / Tembakau

Kondisi medis terkait
1) Diabetes
2) Hipertiroidisme
3) Penyakit Ginjal Kronis
4) Demensia
5) Sindrom metabolik
6) Dislipidemia
7) Hipertensi yang diinduksi kehamilan
8) Pil kontrasepsi oral


"	"Kebanyakan pasien hipertensi tidak menunjukkan gejala sama sekali.
Oleh karena itu, hipertensi tetap tidak terdiagnosis dalam banyak kasus.
1) Sakit kepala
2) Mimisan
3) Sesak napas, Kecemasan/Stres
4) Berkeringat
5) Masalah tidur
6) Bradikardia / Takikardia
7) Kelemahan
8) Hiperaldosteronisme"""	Pemantauan tekanan darah secara teratur sangat penting, karena biasanya tidak akan ada gejala yang membuat Anda sadar akan kondisi tersebut. Periksa Tekanan Darah Istirahat dalam posisi Terlentang dan Duduk.	Secara genetik, kamu memiliki risiko rendah untuk mengidap Hypertension	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Waspadai tanda dan gejala Hypertension dan segera konsultasikan ke dokter jika Anda mengalami salah satu gejala tersebut."	NA
Hypertension	Hipertensi dikenal sebagai tekanan darah tinggi adalah tekanan darah yang lebih tinggi dari normal. Tekanan darah normal adalah 120/80 mmHg, sedangkan hipertensi lebih tinggi dari 140 /90 mmHg. Hipertensi adalah faktor risiko paling umum untuk stroke dan penyakit jantung.Ê	High		"HLA-DPA1, HLA-DPB1; AGTR1; NOS3; ALDH2"	9	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Usia: risiko meningkat seiring bertambahnya usia
2) Jenis Kelamin: lebih sering terjadi pada pria
3) Etnisitas: umum di antara orang-orang keturunan Afrika
4) Riwayat keluarga

Faktor gaya hidup
1) Kelebihan berat badan
2) Pola makan yang tidak sehat
3) Kurangnya aktivitas fisik
4) Stres
5) Alkohol lebih dari konsumsi
6) Kebiasaan Merokok / Tembakau

Kondisi medis terkait
1) Diabetes
2) Hipertiroidisme
3) Penyakit Ginjal Kronis
4) Demensia
5) Sindrom metabolik
6) Dislipidemia
7) Hipertensi yang diinduksi kehamilan
8) Pil kontrasepsi oral


"	"Kebanyakan pasien hipertensi tidak menunjukkan gejala sama sekali.
Oleh karena itu, hipertensi tetap tidak terdiagnosis dalam banyak kasus.
1) Sakit kepala
2) Mimisan
3) Sesak napas, Kecemasan/Stres
4) Berkeringat
5) Masalah tidur
6) Bradikardia / Takikardia
7) Kelemahan
8) Hiperaldosteronisme"""	Pemantauan tekanan darah secara teratur sangat penting, karena biasanya tidak akan ada gejala yang membuat Anda sadar akan kondisi tersebut. Periksa Tekanan Darah Istirahat dalam posisi Terlentang dan Duduk.	Secara genetik, kamu memiliki risiko tinggi untuk mengidap Hypertension	"Makan makanan bergizi (Buah-buahan, Sayuran, dan biji-bijian)

Konsumsi makanan kaya mineral (Kalium, Magnesium, Kalsium, dan antioksidan)

Makan makanan kaya protein (daging ayam, telur, kacang-kacangan, dan biji-bijian)

Konsumsi produk susu rendah lemak (susu, yoghurt, buttermilk) 

Jaga berat badan dan berolahragalah setiap hari. Lakukan olah raga aerobik seperti jalan cepat, bersepeda, dan berenang. Juga disarankan untuk melakukan olahraga ketahan seperti angkat beban."	"Makanan dengan kandungan garam tinggi (acar, keripik, saus, dll)

Konsumsi alkohol

Merokok atau mengunyah tembakau

Konsumsi kafein berlebihan (lebih dari 200mg/ hari)"
Hypertriglyceridemia	Hipertrigliseridemia (HTG) adalah suatu keadaan dimana terjadi peningkatan kadar trigliserida plasma pada fase puasa. HTG telah diklasifikasikan sebagai primer, ketika dasar genetik dicurigai atau sekunder, saat peningkatan kadar TG dapat diidentifikasi. Peningkatan kadar trigliserida dapat meningkatkan risiko penyakit kardiovaskular.	Typical		"GCKR; TBL2; APOA5"	10	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
Tidak ada

Faktor gaya hidup	
1) Konsumsi alkohol berlebihan
2) Kurang olahraga
3) Diet kaya karbohidrat, jenuh dan lemak trans

Kondisi medis terkait
1) Obesitas
2) Diabetes Tipe 2
3) Hipotiroidisme
4) Uremia dan sindrom nefrotik
5) Penyakit hati berlemak non-alkohol
6) Obat-obatan: Obat antihipertensi tertentu, kortikosteroid, tamoxifen, antiretroviral, psikotropika
"	"Hipertrigliseridemia biasanya tidak muncul dengan
gejala sampai kadarnya mencapai 1000 sampai 2000 mg/dL.
1) Sakit perut
2) Kesulitan bernafas
3) Kehilangan memori / Demensia
4) Xanthelasma
5) arkus kornea
6) Xanthoma"	"1) Uji Profil Lipid
2) Tingkat kilomikron
3) Kadar gula darah puasa dan postprandial (untuk penderita diabetes yang diketahui)
4) USG abdomen untuk menyingkirkan komplikasi perlemakan hati dan pankreas"	Secara genetik, kamu memiliki risiko umum untuk mengidap Hypertriglyceridemia	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Waspadai tanda dan gejala Hypertriglyceridemia dan segera konsultasikan ke dokter jika Anda mengalami salah satu gejala tersebut."	NA
Hypertriglyceridemia	Hipertrigliseridemia (HTG) adalah suatu keadaan dimana terjadi peningkatan kadar trigliserida plasma pada fase puasa. HTG telah diklasifikasikan sebagai primer, ketika dasar genetik dicurigai atau sekunder, saat peningkatan kadar TG dapat diidentifikasi. Peningkatan kadar trigliserida dapat meningkatkan risiko penyakit kardiovaskular.	Low		"GCKR; TBL2; APOA5"	10	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
Tidak ada

Faktor gaya hidup	
1) Konsumsi alkohol berlebihan
2) Kurang olahraga
3) Diet kaya karbohidrat, jenuh dan lemak trans

Kondisi medis terkait
1) Obesitas
2) Diabetes Tipe 2
3) Hipotiroidisme
4) Uremia dan sindrom nefrotik
5) Penyakit hati berlemak non-alkohol
6) Obat-obatan: Obat antihipertensi tertentu, kortikosteroid, tamoxifen, antiretroviral, psikotropika
"	"Hipertrigliseridemia biasanya tidak muncul dengan
gejala sampai kadarnya mencapai 1000 sampai 2000 mg/dL.
1) Sakit perut
2) Kesulitan bernafas
3) Kehilangan memori / Demensia
4) Xanthelasma
5) arkus kornea
6) Xanthoma"	"1) Uji Profil Lipid
2) Tingkat kilomikron
3) Kadar gula darah puasa dan postprandial (untuk penderita diabetes yang diketahui)
4) USG abdomen untuk menyingkirkan komplikasi perlemakan hati dan pankreas"	Secara genetik, kamu memiliki risiko rendah untuk mengidap Hypertriglyceridemia	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Waspadai tanda dan gejala Hypertriglyceridemia dan segera konsultasikan ke dokter jika Anda mengalami salah satu gejala tersebut."	NA
Hypertriglyceridemia	Hipertrigliseridemia (HTG) adalah suatu keadaan dimana terjadi peningkatan kadar trigliserida plasma pada fase puasa. HTG telah diklasifikasikan sebagai primer, ketika dasar genetik dicurigai atau sekunder, saat peningkatan kadar TG dapat diidentifikasi. Peningkatan kadar trigliserida dapat meningkatkan risiko penyakit kardiovaskular.	High		"GCKR; TBL2; APOA5"	10	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
Tidak ada

Faktor gaya hidup	
1) Konsumsi alkohol berlebihan
2) Kurang olahraga
3) Diet kaya karbohidrat, jenuh dan lemak trans

Kondisi medis terkait
1) Obesitas
2) Diabetes Tipe 2
3) Hipotiroidisme
4) Uremia dan sindrom nefrotik
5) Penyakit hati berlemak non-alkohol
6) Obat-obatan: Obat antihipertensi tertentu, kortikosteroid, tamoxifen, antiretroviral, psikotropika
"	"Hipertrigliseridemia biasanya tidak muncul dengan
gejala sampai kadarnya mencapai 1000 sampai 2000 mg/dL.
1) Sakit perut
2) Kesulitan bernafas
3) Kehilangan memori / Demensia
4) Xanthelasma
5) arkus kornea
6) Xanthoma"	"1) Uji Profil Lipid
2) Tingkat kilomikron
3) Kadar gula darah puasa dan postprandial (untuk penderita diabetes yang diketahui)
4) USG abdomen untuk menyingkirkan komplikasi perlemakan hati dan pankreas"	Secara genetik, kamu memiliki risiko tinggi untuk mengidap Hypertriglyceridemia	"Konsumsi makanan bergizi dan seimbang (buah-buahan, sayuran,serat, dan omega-3)

Kelola berat badan melalui pola makan yang baik dan olahraga

Olah raga dan beraktifitas fisik setiap hari

Awasi dan kendalikan kadar gula darah anda bila menderita diabetes"	"Makanan olahan susu dan daging tinggi lemak (keju, mentega, daging merah, daging olahan, gorengan, dll)

Konsumsi karbohidrat berlebihan (terutama fruktosa)

Merokok atau penggunaan produk tembakau

Konsumsi alkohol berlebihan"
Myocardial Infarction	Myocardial infarction (MI) biasanya disebut dengan serangan jantung. MI secara klinis didefinisikan sebagai kematian ireversibel atau nekrosis otot jantung sekunder akibat kekurangan suplai oksigen yang berkepanjangan. MI terjadi ketika salah satu arteri koroner jantung tersumbat tiba-tiba yang disebabkan karena pembentukan bekuan darah. 	Typical		"CDKN2B-AS1; CELSR2; MIA3; LDLR; APOE; APOA5; PSMA6; PSRC1"	11	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Usia: peningkatan risiko setelah usia 65 tahun
2) Jenis Kelamin: laki-laki berisiko lebih besar daripada perempuan
3) Etnisitas: lebih umum pada populasi tertentu
4) Riwayat keluarga	

Faktor gaya hidup
1) Merokok
2) Konsumsi alkohol yang berlebihan
3) Kurang olahraga
4) Diet tidak sehat (kaya akan lemak jenuh dan lemak trans)
5) Stres	

Kondisi medis terkait
1) Obesitas
2) Diabetes Tipe 2
3) Kadar lipid yang tidak normal
4) Pre-eklampsia
5) Peningkatan kadar Homosistein
6) Faktor-faktor yang menurunkan
pengiriman oksigen-Hipoksemia	

"	"1) Nyeri dada, Sesak napas/ Dispnea, Kepala terasa ringan/ Pusing/ Kecemasan
2) Kelemahan tiba-tiba
3) Mual/muntah
4) Berkeringat/keringat dingin
5) Sinkop
6) Detak jantung cepat atau tidak teratur, Peningkatan Tekanan Darah
7) Demam
8) Ketidaknyamanan epigastrium"	"1) Konsultasi ahli jantung
2) EKG serial
3) Penanda jantung serial
4) Angiografi koroner
5) 2D-ECHO"	Secara genetik, kamu memiliki risiko umum untuk mengidap Myocardial Infarction	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Waspadai tanda dan gejala Myocardial Infarction dan segera konsultasikan ke dokter jika Anda mengalami salah satu gejala tersebut."	NA
Myocardial Infarction	Myocardial infarction (MI) biasanya disebut dengan serangan jantung. MI secara klinis didefinisikan sebagai kematian ireversibel atau nekrosis otot jantung sekunder akibat kekurangan suplai oksigen yang berkepanjangan. MI terjadi ketika salah satu arteri koroner jantung tersumbat tiba-tiba yang disebabkan karena pembentukan bekuan darah. 	Low		"CDKN2B-AS1; CELSR2; MIA3; LDLR; APOE; APOA5; PSMA6; PSRC1"	11	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Usia: peningkatan risiko setelah usia 65 tahun
2) Jenis Kelamin: laki-laki berisiko lebih besar daripada perempuan
3) Etnisitas: lebih umum pada populasi tertentu
4) Riwayat keluarga	

Faktor gaya hidup
1) Merokok
2) Konsumsi alkohol yang berlebihan
3) Kurang olahraga
4) Diet tidak sehat (kaya akan lemak jenuh dan lemak trans)
5) Stres	

Kondisi medis terkait
1) Obesitas
2) Diabetes Tipe 2
3) Kadar lipid yang tidak normal
4) Pre-eklampsia
5) Peningkatan kadar Homosistein
6) Faktor-faktor yang menurunkan
pengiriman oksigen-Hipoksemia	

"	"1) Nyeri dada, Sesak napas/ Dispnea, Kepala terasa ringan/ Pusing/ Kecemasan
2) Kelemahan tiba-tiba
3) Mual/muntah
4) Berkeringat/keringat dingin
5) Sinkop
6) Detak jantung cepat atau tidak teratur, Peningkatan Tekanan Darah
7) Demam
8) Ketidaknyamanan epigastrium"	"1) Konsultasi ahli jantung
2) EKG serial
3) Penanda jantung serial
4) Angiografi koroner
5) 2D-ECHO"	Secara genetik, kamu memiliki risiko rendah untuk mengidap Myocardial Infarction	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Waspadai tanda dan gejala Myocardial Infarction dan segera konsultasikan ke dokter jika Anda mengalami salah satu gejala tersebut."	NA
Myocardial Infarction	Myocardial infarction (MI) biasanya disebut dengan serangan jantung. MI secara klinis didefinisikan sebagai kematian ireversibel atau nekrosis otot jantung sekunder akibat kekurangan suplai oksigen yang berkepanjangan. MI terjadi ketika salah satu arteri koroner jantung tersumbat tiba-tiba yang disebabkan karena pembentukan bekuan darah. 	High		"CDKN2B-AS1; CELSR2; MIA3; LDLR; APOE; APOA5; PSMA6; PSRC1"	11	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Usia: peningkatan risiko setelah usia 65 tahun
2) Jenis Kelamin: laki-laki berisiko lebih besar daripada perempuan
3) Etnisitas: lebih umum pada populasi tertentu
4) Riwayat keluarga	

Faktor gaya hidup
1) Merokok
2) Konsumsi alkohol yang berlebihan
3) Kurang olahraga
4) Diet tidak sehat (kaya akan lemak jenuh dan lemak trans)
5) Stres	

Kondisi medis terkait
1) Obesitas
2) Diabetes Tipe 2
3) Kadar lipid yang tidak normal
4) Pre-eklampsia
5) Peningkatan kadar Homosistein
6) Faktor-faktor yang menurunkan
pengiriman oksigen-Hipoksemia	

"	"1) Nyeri dada, Sesak napas/ Dispnea, Kepala terasa ringan/ Pusing/ Kecemasan
2) Kelemahan tiba-tiba
3) Mual/muntah
4) Berkeringat/keringat dingin
5) Sinkop
6) Detak jantung cepat atau tidak teratur, Peningkatan Tekanan Darah
7) Demam
8) Ketidaknyamanan epigastrium"	"1) Konsultasi ahli jantung
2) EKG serial
3) Penanda jantung serial
4) Angiografi koroner
5) 2D-ECHO"	Secara genetik, kamu memiliki risiko tinggi untuk mengidap Myocardial Infarction	"Konsumsi makanan yang bergizi dan seimbang. Konsumsi makanan kaya akan protein (produk olahan susu rendah lemak, daging tanpa lemak, unggas tanpa kulit, kacang-kacangan, biji-bijian, dan telur)

Kelola berat badan melalui pola makan yang baik dan olahraga

Berolahraga setiap hari dengan latihan aerobik seperti berjalan, bersepeda atau berenang.

Mengelola tingkat stress dengan melakukan Aktivitas pereda stress seperti meditasi dan yoga.

Kelola tingkat kolesterol, gula darah, dan tekanan darah secara rutin, minum obat-obatan jika diperlukan"	"Konsumsi lemak jenuh dan tinggi garam.

Konsumsi gula halus ataupun karbohidrat berlebihan.

Merokok dan penggunaan produk tembakau.

Konsumsi alkohol berelbihan"
Stroke	Stroke terjadi ketika suplai darah ke bagian otak Anda tiba-tiba terganggu, sehingga jaringan otak kekurangan oksigen dan nutrisi sehingga jaringan otak menjadi rusak dan mulai mati dalam beberapa menit. Hal ini menyebabkan bagian tubuh yang dikendalikan oleh otak yang terluka tersebut berhenti bekerja.Ê	Typical		"HDAC9; ZFHX3; ALDH2; MTHFR; CDKN2B-AS1"	12	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Usia: risiko meningkat seiring bertambahnya usia (55 tahun ke atas)
2) Jenis Kelamin: lebih sering terjadi pada wanita
3) Etnisitas: Afrika-Amerika berada pada risiko yang lebih tinggi
4) Riwayat keluarga	

Faktor gaya hidup
1) Pola makan yang tidak sehat
2) Kurangnya aktivitas fisik
3) Konsumsi alkohol yang berlebihan (pesta mabuk-mabukan)
4) Kebiasaan Tembakau/ Merokok
5) Penggunaan obat-obatan seperti kokain dan metamfetamin	

Kondisi medis terkait
1) Obesitas
2) Hipertensi
3) Diabetes
4) Kadar kolesterol tinggi
5) Kardiomiopati
6) Apnea tidur obstruktif
7) Tingkat homosistein tinggi
8) Kontrasepsi, Terapi penggantian hormon	

Genetika
Varian genetik gen kunci tertentu juga meningkatkan risiko stroke bersama dengan faktor risiko lainnya.
"	"1) Sensasi kesemutan yang terus-menerus di lengan atau kaki
2) Mati rasa/lumpuh pada separuh/bagian tubuh
3) Kesulitan dalam berbicara
4) Pusing dan vertigo atau kesulitan menelan
5) Masalah penglihatan
6) Sakit kepala parah
7) Kehilangan kesadaran
8) Wajah terkulai"	"1) Pemeriksaan fisik oleh dokter
2) Tes darah untuk mencari waktu pembekuan, adanya faktor pembekuan atau infeksi, hitung darah lengkap, kadar gula, kadar elektrolit, fungsi ginjal, kadar Homosistein Serum
3) MRI
4) CT-scan
5) USG karotis
6) Angiogram serebral/MR Angio
7) Ekokardiogram
8) Konsultasi Dokter / Ahli Saraf"	Secara genetik, kamu memiliki risiko umum untuk mengidap Stroke	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Waspadai tanda dan gejala Stroke dan segera konsultasikan ke dokter jika Anda mengalami salah satu gejala tersebut."	NA
Stroke	Stroke terjadi ketika suplai darah ke bagian otak Anda tiba-tiba terganggu, sehingga jaringan otak kekurangan oksigen dan nutrisi sehingga jaringan otak menjadi rusak dan mulai mati dalam beberapa menit. Hal ini menyebabkan bagian tubuh yang dikendalikan oleh otak yang terluka tersebut berhenti bekerja.Ê	Low		"HDAC9; ZFHX3; ALDH2; MTHFR; CDKN2B-AS1"	12	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Usia: risiko meningkat seiring bertambahnya usia (55 tahun ke atas)
2) Jenis Kelamin: lebih sering terjadi pada wanita
3) Etnisitas: Afrika-Amerika berada pada risiko yang lebih tinggi
4) Riwayat keluarga	

Faktor gaya hidup
1) Pola makan yang tidak sehat
2) Kurangnya aktivitas fisik
3) Konsumsi alkohol yang berlebihan (pesta mabuk-mabukan)
4) Kebiasaan Tembakau/ Merokok
5) Penggunaan obat-obatan seperti kokain dan metamfetamin	

Kondisi medis terkait
1) Obesitas
2) Hipertensi
3) Diabetes
4) Kadar kolesterol tinggi
5) Kardiomiopati
6) Apnea tidur obstruktif
7) Tingkat homosistein tinggi
8) Kontrasepsi, Terapi penggantian hormon	

Genetika
Varian genetik gen kunci tertentu juga meningkatkan risiko stroke bersama dengan faktor risiko lainnya.
"	"1) Sensasi kesemutan yang terus-menerus di lengan atau kaki
2) Mati rasa/lumpuh pada separuh/bagian tubuh
3) Kesulitan dalam berbicara
4) Pusing dan vertigo atau kesulitan menelan
5) Masalah penglihatan
6) Sakit kepala parah
7) Kehilangan kesadaran
8) Wajah terkulai"	"1) Pemeriksaan fisik oleh dokter
2) Tes darah untuk mencari waktu pembekuan, adanya faktor pembekuan atau infeksi, hitung darah lengkap, kadar gula, kadar elektrolit, fungsi ginjal, kadar Homosistein Serum
3) MRI
4) CT-scan
5) USG karotis
6) Angiogram serebral/MR Angio
7) Ekokardiogram
8) Konsultasi Dokter / Ahli Saraf"	Secara genetik, kamu memiliki risiko rendah untuk mengidap Stroke	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Waspadai tanda dan gejala Stroke dan segera konsultasikan ke dokter jika Anda mengalami salah satu gejala tersebut."	NA
Stroke	Stroke terjadi ketika suplai darah ke bagian otak Anda tiba-tiba terganggu, sehingga jaringan otak kekurangan oksigen dan nutrisi sehingga jaringan otak menjadi rusak dan mulai mati dalam beberapa menit. Hal ini menyebabkan bagian tubuh yang dikendalikan oleh otak yang terluka tersebut berhenti bekerja.Ê	High		"HDAC9; ZFHX3; ALDH2; MTHFR; CDKN2B-AS1"	12	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Usia: risiko meningkat seiring bertambahnya usia (55 tahun ke atas)
2) Jenis Kelamin: lebih sering terjadi pada wanita
3) Etnisitas: Afrika-Amerika berada pada risiko yang lebih tinggi
4) Riwayat keluarga	

Faktor gaya hidup
1) Pola makan yang tidak sehat
2) Kurangnya aktivitas fisik
3) Konsumsi alkohol yang berlebihan (pesta mabuk-mabukan)
4) Kebiasaan Tembakau/ Merokok
5) Penggunaan obat-obatan seperti kokain dan metamfetamin	

Kondisi medis terkait
1) Obesitas
2) Hipertensi
3) Diabetes
4) Kadar kolesterol tinggi
5) Kardiomiopati
6) Apnea tidur obstruktif
7) Tingkat homosistein tinggi
8) Kontrasepsi, Terapi penggantian hormon	

Genetika
Varian genetik gen kunci tertentu juga meningkatkan risiko stroke bersama dengan faktor risiko lainnya.
"	"1) Sensasi kesemutan yang terus-menerus di lengan atau kaki
2) Mati rasa/lumpuh pada separuh/bagian tubuh
3) Kesulitan dalam berbicara
4) Pusing dan vertigo atau kesulitan menelan
5) Masalah penglihatan
6) Sakit kepala parah
7) Kehilangan kesadaran
8) Wajah terkulai"	"1) Pemeriksaan fisik oleh dokter
2) Tes darah untuk mencari waktu pembekuan, adanya faktor pembekuan atau infeksi, hitung darah lengkap, kadar gula, kadar elektrolit, fungsi ginjal, kadar Homosistein Serum
3) MRI
4) CT-scan
5) USG karotis
6) Angiogram serebral/MR Angio
7) Ekokardiogram
8) Konsultasi Dokter / Ahli Saraf"	Secara genetik, kamu memiliki risiko tinggi untuk mengidap Stroke	"Konsumsi makanan bergizi dansehat (buah-buahan dan sayuran), diikuti dengan makanan Timur Tengah (kacang-kacangan, minyak zaitun, buah-buahan, dan biji-bijian)

Kelola berat badan melalui pola makan yang baik dan olahraga

Berolahraga setiap hari dengan latihan kardio maupun latihan aerobik seperti berjalan, jalan cepat, berenang atau bersepeda.

Evaluasi untuk Apnea Tidur Obstruktif (OSA) dan lakukan perawatan yang diperlukan.

Kelola tingkat kolesterol, gula darah, dan tekanan darah secara rutin, minum obat-obatan jika diperlukan"	"Konsumsi lemak jenuh, gula, dan garam berlebihan (daging merah, makanan berlemak, daging olahan, gorengan, dll)

Konsumsi produk olahan gula berlebihan

Merokok dan penggunaan produk tembakau

Konsumsi alkohol berlebihan

Penggunaan obat-obatan terlarang seperti kokain dan methamphetamines"
